Name,Sequence Cluster,Serotype
ERS044037,1,10A
ERS044115,1,10A
ERS069979,1,10A
ERS070017,1,10A
ERS070049,1,10A
ERS070055,1,10A
ERS070090,1,10A
ERS070092,1,10A
ERS070147,1,10A
ERS070176,1,10A
ERS043842,1,10A
ERS043845,1,10A
ERS043926,1,10A
ERS043962,1,10A
ERS043987,1,10A
ERS043989,1,10A
ERS044074,1,35F
ERS044165,1,35F
ERS069942,1,35F
ERS069949,1,35F
ERS069981,1,35F
ERS070004,1,35F
ERS070023,1,35F
ERS070128,1,35F
ERS070156,1,35F
ERS070173,1,35F
ERS070195,1,35F
ERS043927,1,35F
ERS043932,1,35F
ERS043934,1,35F
ERS043983,1,35F
ERS043996,1,35F
ERS044018,1,35F
ERS044021,1,35F
ERS044038,1,6A
ERS044046,1,6A
ERS044052,1,6A
ERS044061,1,6A
ERS044071,1,6A
ERS044076,1,6A
ERS044118,1,6A
ERS044129,1,6A
ERS044141,1,6A
ERS044159,1,6A
ERS044164,1,6A
ERS070122,1,6A
ERS043839,1,6A
ERS043856,1,6A
ERS043894,1,6A
ERS043970,1,6A
ERS044025,1,6A
ERS044027,1,6A
ERS044058,2,11A
ERS044066,2,11A
ERS044107,2,11A
ERS044110,2,11A
ERS044128,2,11A
ERS044143,2,11A
ERS044145,2,11A
ERS044161,2,11A
ERS069928,2,11A
ERS069959,2,11A
ERS069970,2,11A
ERS069971,2,11A
ERS069984,2,11A
ERS070018,2,11A
ERS070022,2,11A
ERS070028,2,11A
ERS070030,2,11A
ERS070045,2,11A
ERS070050,2,11A
ERS070068,2,11A
ERS070069,2,11A
ERS070101,2,11A
ERS070102,2,11A
ERS070105,2,11A
ERS070106,2,11A
ERS070131,2,11A
ERS070133,2,11A
ERS070137,2,11A
ERS070159,2,11A
ERS070182,2,11A
ERS070187,2,11A
ERS070189,2,11A
ERS070193,2,11A
ERS043872,2,11A
ERS043874,2,11A
ERS043890,2,11A
ERS043899,2,11A
ERS043900,2,11A
ERS043914,2,11A
ERS043954,2,11A
ERS043955,2,11A
ERS043960,2,11A
ERS043961,2,11A
ERS043974,2,11A
ERS044008,2,11A
ERS044013,2,11A
ERS044019,2,11A
ERS044033,2,11A
ERS069917,3,15A
ERS069945,3,15A
ERS069951,3,15A
ERS069952,3,15A
ERS070089,3,15A
ERS070130,3,15A
ERS070140,3,15A
ERS070163,3,15A
ERS070165,3,15A
