name,genotype,Cultured,Extraction Method,Country,Gender
L1_SABY216,L1,Yes,SureSelect,South Africa,M
L1_SA160,L1,Yes,SureSelect,South Africa,M
L1_SA409,L1,Yes,SureSelect,South Africa,M
E_Ar250,E,Yes,SureSelect,Argentina,M
K_Ar650,K,Yes,SureSelect,Argentina,M
K_Ar74,K,Yes,SureSelect,Argentina,F
I_UW12,I-Ia,Yes,Other,USA,unknown
F_IC-Cal-3,F,Yes,Other,USA,unknown
L2_514BU11,L2,Yes,Other,USA,M
L2_470LN870,L2,Yes,Other,USA,M
L2_SF40369,L2,Yes,Other,USA,M
L2b_SF41806,L2b,Yes,Other,USA,M
L2b_SF46445,L2b,Yes,Other,USA,M
L2_SFUW396,L2,Yes,Other,USA,M
L2b_SF156740,L2b,Yes,Other,USA,M
L2_SF25667,L2,Yes,Other,USA,M
L2b_SF156531,L2b,Yes,Other,USA,M
L2b_SF156710,L2b,Yes,Other,USA,M
E_940U470,E,Yes,Other,USA,M
E_C599,E,Yes,Other,USA,M
L2_526BU5,L2,Yes,Other,USA,M
L1_440,L1,Yes,Other,USA,M
L3_404,L3,Yes,Other,USA,M
L2_P,L2,Yes,Other,USA,M
E_Bour,E,Yes,Other,USA,M
H_UW43,H,Yes,Other,USA,F
K_UW31,K,Yes,Other,USA,F
H_UW4,H,Yes,Other,USA,F
E_IU824,E,Yes,Other,USA,F
E_IU888,E,Yes,Other,USA,F
F_NI1,F,Yes,Other,unknown,unknown
D_T9p,D,Yes,Other,UK,unknown
L2b_UCH2,L2b,Yes,Other,UK,unknown
E_CC35,E,Yes,Other,UK,M
E_Rb10387,E,Yes,Other,UK,M
L2b_UCH1,L2b,Yes,Other,UK,M
D_HPA314,D,Yes,Other,UK,F
E_CC15,E,Yes,Other,UK,F
E_Rb10392,E,Yes,Other,UK,F
E_Rb1392,E,Yes,Other,UK,F
E_Soton17,E,Yes,Other,UK,F
E_Soton53,E,Yes,Other,UK,F
E_Soton107,E,Yes,Other,UK,F
E_Soton116,E,Yes,Other,UK,F
E_Soton120,E,Yes,Other,UK,F
E_Soton145,E,Yes,Other,UK,F
E_Soton159,E,Yes,Other,UK,F
F_Soton48,F,Yes,Other,UK,F
D_Soton49,D,Yes,Other,UK,F
E_Soton83,E,Yes,Other,UK,F
F_Soton106,F,Yes,Other,UK,F
F_Soton118,F,Yes,Other,UK,F
D_Soton128,D,Yes,Other,UK,F
F_Soton137,F,Yes,Other,UK,F
E_SotonE6,E,Yes,Other,UK,F
E_SotonE7,E,Yes,Other,UK,F
D_SotonD3,D,Yes,Other,UK,F
E_SotonE1,E,Yes,Other,UK,F
E_SotonE3,E,Yes,Other,UK,F
E_SotonE5,E,Yes,Other,UK,F
E_SotonE9,E,Yes,Other,UK,F
F_SotonF1,F,Yes,Other,UK,F
F_SotonF2,F,Yes,Other,UK,F
F_SotonF4,F,Yes,Other,UK,F
D_Soton15,D,Yes,Other,UK,F
F_Soton18,F,Yes,Other,UK,F
E_Soton155,E,Yes,Other,UK,F
E_Soton73,E,Yes,Other,UK,F
F_Soton88,F,Yes,Other,UK,F
E_Soton121,E,Yes,Other,UK,F
E_Soton122,E,Yes,Other,UK,F
E_SotonE2,E,Yes,Other,UK,F
D_Soton42,D,Yes,Other,UK,F
D_Soton54,D,Yes,Other,UK,F
G_Soton144,G,Yes,Other,UK,F
D_SotonD2,D,Yes,Other,UK,F
D_SotonD4,D,Yes,Other,UK,F
G_SotonG2,G,Yes,Other,UK,F
G_SotonG3,G,Yes,Other,UK,F
G_SotonG4,G,Yes,Other,UK,F
K_Soton63,K,Yes,Other,UK,F
K_Soton13,K,Yes,Other,UK,F
K_Soton32,K,Yes,Other,UK,F
I_Soton34,I-Ia,Yes,Other,UK,F
K_Soton37,K,Yes,Other,UK,F
D_Soton47,D,Yes,Other,UK,F
G_Soton57,G,Yes,Other,UK,F
J_Soton72,J,Yes,Other,UK,F
J_Soton87,J,Yes,Other,UK,F
J_Soton98,J,Yes,Other,UK,F
I_Soton103,I-Ia,Yes,Other,UK,F
D_Soton150,D,Yes,Other,UK,F
E_SotonE4,E,Yes,Other,UK,F
D_SotonD1,D,Yes,Other,UK,F
E_SotonE8,E,Yes,Other,UK,F
F_SotonF3,F,Yes,Other,UK,F
D_SotonD5,D,Yes,Other,UK,F
Ia_SotonIa1,I-Ia,Yes,Other,UK,F
K_SotonK1,K,Yes,Other,UK,F
G_SotonG1,G,Yes,Other,UK,F
Ia_SotonIa3,I-Ia,Yes,Other,UK,F
D_SotonD6,D,Yes,Other,UK,F
A_MH9922,A,Yes,Other,Tanzania,F
A_363,A,Yes,Other,Tanzania,F
C_TW3,C,Yes,Other,Taiwan,unknown
E_S3024,E,Yes,Other,Sweden,M
F_S2430,F,Yes,Other,Sweden,M
D_S1879,D,Yes,Other,Sweden,M
E_S4324,E,Yes,Other,Sweden,M
E_S4247,E,Yes,Other,Sweden,M
G_S4658,G,Yes,Other,Sweden,M
L2b_8200,L2b,Yes,Other,Sweden,M
E_SW2,E,Yes,Other,Sweden,M
F_SWFP,F,Yes,Other,Sweden,F
F_S2526,F,Yes,Other,Sweden,F
E_S3122,E,Yes,Other,Sweden,F
E_S1086,E,Yes,Other,Sweden,F
E_S3732,E,Yes,Other,Sweden,F
F_S2595,F,Yes,Other,Sweden,F
E_S2491,E,Yes,Other,Sweden,F
E_S4471,E,Yes,Other,Sweden,F
E_S1886,E,Yes,Other,Sweden,F
E_S1618,E,Yes,Other,Sweden,F
F_S1470,F,Yes,Other,Sweden,F
D_S276I,D,Yes,Other,Sweden,F
F_S3948,F,Yes,Other,Sweden,F
E_S3073,E,Yes,Other,Sweden,F
E_S4106,E,Yes,Other,Sweden,F
E_S1227,E,Yes,Other,Sweden,F
E_S1019,E,Yes,Other,Sweden,F
E_S1528,E,Yes,Other,Sweden,F
E_S1148,E,Yes,Other,Sweden,F
F_S1494,F,Yes,Other,Sweden,F
E_S1613,E,Yes,Other,Sweden,F
E_S3695,E,Yes,Other,Sweden,F
E_S3724,E,Yes,Other,Sweden,F
E_S4007,E,Yes,Other,Sweden,F
E_S2699,E,Yes,Other,Sweden,F
E_S2713,E,Yes,Other,Sweden,F
E_S3085,E,Yes,Other,Sweden,F
E_S3711,E,Yes,Other,Sweden,F
D_S3929,D,Yes,Other,Sweden,F
G_S2956,G,Yes,Other,Sweden,F
K_S4229,K,Yes,Other,Sweden,F
D_S2130,D,Yes,Other,Sweden,F
G_S1824,G,Yes,Other,Sweden,F
D_S1736,D,Yes,Other,Sweden,F
G_S1471,G,Yes,Other,Sweden,F
D_S4828,D,Yes,Other,Sweden,F
H_S1314,H,Yes,Other,Sweden,F
J_S3107,J,Yes,Other,Sweden,F
J_S4281,J,Yes,Other,Sweden,F
H_S1026,H,Yes,Other,Sweden,F
J_S1254,J,Yes,Other,Sweden,F
H_S1432,H,Yes,Other,Sweden,F
K_S143,K,Yes,Other,Sweden,F
D_S4093,D,Yes,Other,Sweden,F
G_S1846,G,Yes,Other,Sweden,F
G_S4641,G,Yes,Other,Sweden,F
G_S2477,G,Yes,Other,Sweden,F
J_S178,J,Yes,Other,Sweden,F
K_S4034,K,Yes,Other,Sweden,F
H_S4377,H,Yes,Other,Sweden,F
J_S4821,J,Yes,Other,Sweden,F
F_SW4,F,Yes,Other,Sweden,F
F_SW5,F,Yes,Other,Sweden,F
E_SW3,E,Yes,Other,Sweden,F
L1_224,L1,Yes,Other,South Africa,unknown
L1_115,L1,Yes,Other,South Africa,unknown
L2_LGV173,L2,Yes,Other,South Africa,M
L1_L1034,L1,Yes,Other,South Africa,M
L1_L146,L1,Yes,Other,South Africa,M
L1_L165,L1,Yes,Other,South Africa,M
L1_L246,L1,Yes,Other,South Africa,M
L2_L198,L2,Yes,Other,South Africa,M
L1_L82,L1,Yes,Other,South Africa,M
L1_L224,L1,Yes,Other,South Africa,M
L1_L232,L1,Yes,Other,South Africa,M
L1_L867,L1,Yes,Other,South Africa,M
L1_L942,L1,Yes,Other,South Africa,M
L1_L115p10,L1,Yes,Other,South Africa,M
L2_L694,L2,Yes,Other,South Africa,M
L1_SA16,L1,Yes,Other,South Africa,M
B_HAR36,B-Ba,Yes,Other,Saudi Arabia,unknown
A_SA1,A,Yes,Other,Saudi Arabia,F
F_R28312,F,Yes,Other,Russia,M
E_R4159,E,Yes,Other,Russia,M
E_R1430,E,Yes,Other,Russia,M
G_R31458,G,Yes,Other,Russia,M
K_R34962,K,Yes,Other,Russia,M
G_R9892,G,Yes,Other,Russia,M
K_R14876,K,Yes,Other,Russia,M
H_R13670,H,Yes,Other,Russia,M
E_R28044,E,Yes,Other,Russia,F
E_R25114,E,Yes,Other,Russia,F
E_R30444,E,Yes,Other,Russia,F
E_R4528,E,Yes,Other,Russia,F
E_R16965,E,Yes,Other,Russia,F
G_R297,G,Yes,Other,Russia,F
G_R23736,G,Yes,Other,Russia,F
H_R27887,H,Yes,Other,Russia,F
H_R31975,H,Yes,Other,Russia,F
K_R34345,K,Yes,Other,Russia,F
G_R35506,G,Yes,Other,Russia,F
H_R25308,H,Yes,Other,Russia,F
G_R459,G,Yes,Other,Russia,F
G_R2247,G,Yes,Other,Russia,F
K_R2084,K,Yes,Other,Russia,F
G_R27757,G,Yes,Other,Russia,F
G_R9069,G,Yes,Other,Russia,F
K_R13207,K,Yes,Other,Russia,F
K_R11642,K,Yes,Other,Russia,F
K_R15212,K,Yes,Other,Russia,F
E_R26833,E,Yes,Other,Russia,F
G_R36176,G,Yes,Other,Russia,F
G_R3059,G,Yes,Other,Russia,F
G_R4175,G,Yes,Other,Russia,F
L2b_s11,L2b,Yes,Other,Netherlands,M
L2b_s906,L2b,Yes,Other,Netherlands,M
L2b_s750,L2b,Yes,Other,Netherlands,M
