ID,In_Silico_ST,CC,In_Silico_Serotype,In_Silico_Serotype:colour,Country,Country:colour,Continent,Continent:colour,Predicted_PEN_MIC_CLSI_meningitis,Predicted_PEN_MIC_CLSI_meningitis:colour,SXT_predict_by_geno_CLSI,SXT_predict_by_geno_CLSI:colour,cat1_CLSI,cat1_CLSI:colour,ermB_CLSI,ermB_CLSI:colour,mef_CLSI,mef_CLSI:colour,tet_CLSI,tet_CLSI:colour,MDR,MDR:colour
15682_2#23,1087,ST1087,19F,#a5b4ff,Poland,#2b6700,Europe,#c75a93,R,#ff2722,I,#f797b1,neg,#4dbc6b,ermB1,#ff2722,neg,#4dbc6b,tetM1,#ff2722,Yes,#ff2722
21999_7#122,2307,ST2307,19F,#a5b4ff,BRAZIL,#cb5a4c,South America,#8176cc,R,#ff2722,I,#f797b1,neg,#4dbc6b,ermB1,#ff2722,neg,#4dbc6b,tetM1,#ff2722,Yes,#ff2722
14913_2#21,8374,ST8374,14,#0156b8,South Africa,#b18ebf,Africa,#5baf6c,R,#ff2722,R,#ff2722,neg,#4dbc6b,ermB1,#ff2722,neg,#4dbc6b,tetSM,#1c80cf,Yes,#ff2722
11657_2#26,9540,ST9540,19F,#a5b4ff,USA,#995300,North America,#c7a845,S,#4dbc6b,S,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,tetM1,#ff2722,No,#4dbc6b
17150_6#27,11100,ST11100,24,#019752,South Africa,#b18ebf,Africa,#5baf6c,S,#4dbc6b,S,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,No,#4dbc6b
20925_3#99,12474,ST12474,19A,#43bbff,India,#e49aff,Asia,#cb5e43,R,#ff2722,S,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,mef1,#ff2722,tetM1,#ff2722,Yes,#ff2722
20925_3#57,12474,ST12474,19A,#43bbff,India,#e49aff,Asia,#cb5e43,R,#ff2722,S,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,mef1,#ff2722,tetM1,#ff2722,Yes,#ff2722
20925_3#49,12474,ST12474,19A,#43bbff,India,#e49aff,Asia,#cb5e43,R,#ff2722,S,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,mef1,#ff2722,tetM1,#ff2722,Yes,#ff2722
20925_3#104,12474,ST12474,19A,#43bbff,India,#e49aff,Asia,#cb5e43,R,#ff2722,S,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,mef1,#ff2722,tetM1,#ff2722,Yes,#ff2722
16288_5#7,12790,ST12790,19F,#a5b4ff,Nepal,#a1d48d,Asia,#cb5e43,S,#4dbc6b,I,#f797b1,neg,#4dbc6b,ermB1,#ff2722,neg,#4dbc6b,tetM1,#ff2722,No,#4dbc6b
20925_3#65,1553,CC12794,7B,#796bf6,India,#e49aff,Asia,#cb5e43,R,#ff2722,I,#f797b1,neg,#4dbc6b,ermB1,#ff2722,neg,#4dbc6b,tetM1,#ff2722,Yes,#ff2722
17138_5#64,1553,CC12794,7B,#796bf6,Nepal,#a1d48d,Asia,#cb5e43,R,#ff2722,I,#f797b1,neg,#4dbc6b,ermB1,#ff2722,neg,#4dbc6b,tetM1,#ff2722,Yes,#ff2722
17138_5#36,1553,CC12794,7B,#796bf6,Nepal,#a1d48d,Asia,#cb5e43,R,#ff2722,I,#f797b1,neg,#4dbc6b,ermB1,#ff2722,neg,#4dbc6b,tetM1,#ff2722,Yes,#ff2722
16288_5#44,1553,CC12794,19F,#a5b4ff,Nepal,#a1d48d,Asia,#cb5e43,R,#ff2722,I,#f797b1,neg,#4dbc6b,ermB1,#ff2722,neg,#4dbc6b,tetM1,#ff2722,Yes,#ff2722
16288_5#4,1553,CC12794,7B,#796bf6,Nepal,#a1d48d,Asia,#cb5e43,R,#ff2722,I,#f797b1,neg,#4dbc6b,ermB1,#ff2722,neg,#4dbc6b,tetM1,#ff2722,Yes,#ff2722
16288_3#74,1553,CC12794,7B,#796bf6,Nepal,#a1d48d,Asia,#cb5e43,R,#ff2722,I,#f797b1,neg,#4dbc6b,ermB1,#ff2722,neg,#4dbc6b,tetM1,#ff2722,Yes,#ff2722
16288_6#43,12794,CC12794,7B,#796bf6,Nepal,#a1d48d,Asia,#cb5e43,R,#ff2722,I,#f797b1,neg,#4dbc6b,ermB1,#ff2722,neg,#4dbc6b,tetM1,#ff2722,Yes,#ff2722
14555_4#22,6741,CC6741,14,#0156b8,South Africa,#b18ebf,Africa,#5baf6c,R,#ff2722,R,#ff2722,neg,#4dbc6b,ermB1,#ff2722,neg,#4dbc6b,tetSM,#1c80cf,Yes,#ff2722
22841_4#62,2355,CC2355,17F,#7b348b,Israel,#f9d3e7,Asia,#cb5e43,S,#4dbc6b,S,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,tetM1,#ff2722,No,#4dbc6b
22841_3#139,2355,CC2355,17F,#7b348b,Israel,#f9d3e7,Asia,#cb5e43,S,#4dbc6b,S,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,tetM1,#ff2722,No,#4dbc6b
19084_7#44,8812,CC2355,17F,#7b348b,Qatar,#8bc0ff,Asia,#cb5e43,R,#ff2722,S,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,tetM1,#ff2722,No,#4dbc6b
22027_1#144,13880,CC2355,23F,#ffa2e0,Israel,#f9d3e7,Asia,#cb5e43,S,#4dbc6b,S,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,neg,#4dbc6b,tetM1,#ff2722,No,#4dbc6b
