LIST OF FOREIGN GENOMIC SEGMENTS:
Start     End       Origin  HomeCluster  BAPSIndex  StrainName
23954     24092     2       3            1          2255_1
26494     27878     2       3            1          2255_1
30259     30453     3       3            1          2255_1
33559     33698     2       3            1          2255_1
38183     38231     5       3            1          2255_1
38451     38651     5       3            1          2255_1
40063     41027     4       3            1          2255_1
47660     49883     5       3            1          2255_1
50528     52830     4       3            1          2255_1
55738     57645     5       3            1          2255_1
58464     59720     3       3            1          2255_1
65000     65134     2       3            1          2255_1
65695     66055     2       3            1          2255_1
66486     66993     2       3            1          2255_1
68202     69404     3       3            1          2255_1
76712     77073     5       3            1          2255_1
90763     91001     4       3            1          2255_1
92015     92331     3       3            1          2255_1
93328     95030     5       3            1          2255_1
102111    103909    4       3            1          2255_1
104228    105049    4       3            1          2255_1
105883    106393    2       3            1          2255_1
107692    108987    5       3            1          2255_1
112345    114780    5       3            1          2255_1
120876    120973    4       3            1          2255_1
123128    124508    3       3            1          2255_1
132223    133826    5       3            1          2255_1
138227    139339    3       3            1          2255_1
143862    144909    3       3            1          2255_1
150045    151441    2       3            1          2255_1
156910    157151    4       3            1          2255_1
157667    157759    2       3            1          2255_1
162923    163370    3       3            1          2255_1
171897    172200    4       3            1          2255_1
181295    181555    2       3            1          2255_1
182540    183188    5       3            1          2255_1
185298    186087    5       3            1          2255_1
191926    192155    2       3            1          2255_1
194221    194872    3       3            1          2255_1
202010    203879    5       3            1          2255_1
212325    214557    3       3            1          2255_1
228943    229127    5       3            1          2255_1
236455    236684    5       3            1          2255_1
245324    245641    5       3            1          2255_1
245900    246361    3       3            1          2255_1
249647    250423    2       3            1          2255_1
251965    252556    3       3            1          2255_1
253057    253619    3       3            1          2255_1
255610    255746    2       3            1          2255_1
257067    257181    3       3            1          2255_1
257912    258034    5       3            1          2255_1
260946    261891    3       3            1          2255_1
261968    262102    3       3            1          2255_1
262103    262986    4       3            1          2255_1
265008    265433    2       3            1          2255_1
268941    269383    5       3            1          2255_1
277123    277537    2       3            1          2255_1
289277    289368    2       3            1          2255_1
292406    292465    2       3            1          2255_1
292731    293678    2       3            1          2255_1
303790    303972    3       3            1          2255_1
305310    308127    3       3            1          2255_1
327339    327630    5       3            1          2255_1
330723    331337    2       3            1          2255_1
336181    337040    3       3            1          2255_1
338188    338339    3       3            1          2255_1
347533    349211    3       3            1          2255_1
353778    355898    4       3            1          2255_1
358415    359831    5       3            1          2255_1
361271    361410    2       3            1          2255_1
365812    366066    3       3            1          2255_1
367143    367364    5       3            1          2255_1
370615    370919    2       3            1          2255_1
394844    396763    2       3            1          2255_1
422350    422503    5       3            1          2255_1
424254    424443    4       3            1          2255_1
428113    428412    5       3            1          2255_1
435291    436169    4       3            1          2255_1
442342    444173    4       3            1          2255_1
447516    448344    4       3            1          2255_1
468921    469447    5       3            1          2255_1
484340    484640    4       3            1          2255_1
498145    499449    2       3            1          2255_1
500476    500924    5       3            1          2255_1
501701    501882    5       3            1          2255_1
502520    502730    5       3            1          2255_1
508528    509329    3       3            1          2255_1
510841    511114    5       3            1          2255_1
521222    521929    2       3            1          2255_1
523601    523669    2       3            1          2255_1
524840    525565    5       3            1          2255_1
538587    539397    4       3            1          2255_1
544828    545029    5       3            1          2255_1
557228    557956    4       3            1          2255_1
559890    559960    2       3            1          2255_1
566119    566763    2       3            1          2255_1
567599    569354    2       3            1          2255_1
579910    582767    3       3            1          2255_1
594766    597655    2       3            1          2255_1
613666    614253    5       3            1          2255_1
617263    617509    5       3            1          2255_1
620329    620565    3       3            1          2255_1
624551    624760    2       3            1          2255_1
636103    636829    3       3            1          2255_1
644837    646679    3       3            1          2255_1
653912    654203    2       3            1          2255_1
656929    657108    2       3            1          2255_1
661014    661686    3       3            1          2255_1
675421    675612    4       3            1          2255_1
684308    684615    5       3            1          2255_1
687010    687528    5       3            1          2255_1
694744    695247    2       3            1          2255_1
695365    695439    2       3            1          2255_1
695440    695621    3       3            1          2255_1
695696    697263    3       3            1          2255_1
697698    698180    3       3            1          2255_1
699670    702436    5       3            1          2255_1
704858    705515    3       3            1          2255_1
706047    707061    3       3            1          2255_1
707388    707440    3       3            1          2255_1
707441    709548    2       3            1          2255_1
713425    715123    5       3            1          2255_1
715364    716289    3       3            1          2255_1
718580    719921    2       3            1          2255_1
721779    722932    3       3            1          2255_1
729789    730526    4       3            1          2255_1
736927    737884    4       3            1          2255_1
738480    738962    4       3            1          2255_1
740725    741802    2       3            1          2255_1
746036    746246    3       3            1          2255_1
754465    754994    2       3            1          2255_1
767977    768505    4       3            1          2255_1
769372    770288    2       3            1          2255_1
773053    773521    2       3            1          2255_1
774848    775528    4       3            1          2255_1
778311    780448    2       3            1          2255_1
781513    781772    4       3            1          2255_1
786564    787171    2       3            1          2255_1
793464    793779    2       3            1          2255_1
820911    821345    5       3            1          2255_1
823969    824287    2       3            1          2255_1
831716    833186    2       3            1          2255_1
834648    835780    2       3            1          2255_1
837236    837349    4       3            1          2255_1
838116    838183    2       3            1          2255_1
839513    840941    4       3            1          2255_1
842704    843459    2       3            1          2255_1
854943    855804    3       3            1          2255_1
856753    858595    3       3            1          2255_1
862388    863037    4       3            1          2255_1
863896    865593    5       3            1          2255_1
869874    870329    3       3            1          2255_1
871676    872106    3       3            1          2255_1
875007    876541    4       3            1          2255_1
879189    879901    4       3            1          2255_1
881221    881779    5       3            1          2255_1
882239    882302    3       3            1          2255_1
884341    885417    4       3            1          2255_1
891915    892434    3       3            1          2255_1
893271    893862    2       3            1          2255_1
900929    901292    2       3            1          2255_1
909100    909359    3       3            1          2255_1
910645    910916    3       3            1          2255_1
913235    913590    3       3            1          2255_1
914682    915257    2       3            1          2255_1
924648    925764    5       3            1          2255_1
927339    927463    4       3            1          2255_1
937601    938068    3       3            1          2255_1
946570    946652    3       3            1          2255_1
958778    959060    5       3            1          2255_1
960199    961973    5       3            1          2255_1
967182    969035    3       3            1          2255_1
969515    969927    3       3            1          2255_1
982382    982546    2       3            1          2255_1
989602    990579    4       3            1          2255_1
999878    1000029   4       3            1          2255_1
1010768   1013281   3       3            1          2255_1
1020278   1020688   3       3            1          2255_1
1021384   1022141   3       3            1          2255_1
1022484   1022674   5       3            1          2255_1
1024119   1024377   3       3            1          2255_1
1024503   1024707   3       3            1          2255_1
1024943   1024990   2       3            1          2255_1
1025180   1026366   2       3            1          2255_1
1028785   1030576   2       3            1          2255_1
1031133   1031329   2       3            1          2255_1
1040162   1042029   3       3            1          2255_1
1063180   1063197   2       3            1          2255_1
1064207   1064828   3       3            1          2255_1
1065136   1065622   5       3            1          2255_1
1069125   1069878   4       3            1          2255_1
1070917   1071302   4       3            1          2255_1
1079297   1079404   5       3            1          2255_1
1079693   1080266   5       3            1          2255_1
1085857   1086841   5       3            1          2255_1
1087397   1087983   3       3            1          2255_1
1089693   1092503   3       3            1          2255_1
1092727   1093672   3       3            1          2255_1
1098458   1098763   5       3            1          2255_1
1107628   1108394   3       3            1          2255_1
1110163   1110839   3       3            1          2255_1
1116346   1116843   3       3            1          2255_1
1118753   1118885   3       3            1          2255_1
1130878   1131191   2       3            1          2255_1
1131321   1131467   2       3            1          2255_1
1133091   1133548   2       3            1          2255_1
1134322   1134533   2       3            1          2255_1
1136596   1137477   5       3            1          2255_1
1144756   1144970   3       3            1          2255_1
1161978   1163594   4       3            1          2255_1
1164038   1164321   3       3            1          2255_1
1164589   1164795   3       3            1          2255_1
1168030   1168286   4       3            1          2255_1
1169679   1170066   2       3            1          2255_1
1171160   1171291   5       3            1          2255_1
1191368   1191541   2       3            1          2255_1
1195556   1196189   3       3            1          2255_1
1197053   1197947   4       3            1          2255_1
1206264   1206482   2       3            1          2255_1
1207329   1207413   2       3            1          2255_1
1215934   1216614   4       3            1          2255_1
1226686   1226920   3       3            1          2255_1
1228022   1228864   5       3            1          2255_1
1229369   1230188   4       3            1          2255_1
1234465   1234691   3       3            1          2255_1
1238930   1240012   2       3            1          2255_1
1244372   1245330   3       3            1          2255_1
1250904   1251113   2       3            1          2255_1
1253305   1253506   4       3            1          2255_1
1259952   1260275   4       3            1          2255_1
1279064   1279459   5       3            1          2255_1
1283213   1283763   4       3            1          2255_1
1285688   1286020   4       3            1          2255_1
1296435   1296521   4       3            1          2255_1
1296772   1297172   4       3            1          2255_1
1304660   1308319   3       3            1          2255_1
1308320   1308392   4       3            1          2255_1
1308500   1309257   4       3            1          2255_1
1311291   1311907   3       3            1          2255_1
1312799   1313236   3       3            1          2255_1
1324060   1324783   3       3            1          2255_1
1333900   1334146   2       3            1          2255_1
1335616   1336131   3       3            1          2255_1
1339110   1339228   4       3            1          2255_1
1347012   1347298   4       3            1          2255_1
1347413   1349222   4       3            1          2255_1
1356610   1357171   4       3            1          2255_1
1361881   1362691   4       3            1          2255_1
1365680   1366131   2       3            1          2255_1
1368889   1370159   3       3            1          2255_1
1378866   1378916   5       3            1          2255_1
1382698   1383151   3       3            1          2255_1
1386173   1387932   5       3            1          2255_1
1404392   1404928   4       3            1          2255_1
1423926   1424371   5       3            1          2255_1
1442793   1444470   4       3            1          2255_1
1465794   1466867   3       3            1          2255_1
1470044   1470646   3       3            1          2255_1
1477927   1478188   5       3            1          2255_1
1482053   1483519   4       3            1          2255_1
1485349   1485792   2       3            1          2255_1
1486080   1486189   2       3            1          2255_1
1491539   1491897   3       3            1          2255_1
1492197   1492310   3       3            1          2255_1
1505102   1505936   3       3            1          2255_1
1516325   1516810   4       3            1          2255_1
1520204   1520712   2       3            1          2255_1
1529189   1529249   2       3            1          2255_1
1530100   1531085   3       3            1          2255_1
1532814   1532872   3       3            1          2255_1
1534463   1537893   3       3            1          2255_1
1545591   1547728   2       3            1          2255_1
1548925   1549174   3       3            1          2255_1
1552263   1552624   4       3            1          2255_1
1553570   1553943   4       3            1          2255_1
1555550   1555605   4       3            1          2255_1
1555762   1556516   4       3            1          2255_1
1563988   1564367   3       3            1          2255_1
1583492   1583623   5       3            1          2255_1
1585947   1586232   4       3            1          2255_1
1593594   1594588   2       3            1          2255_1
1600635   1600851   4       3            1          2255_1
1604092   1604462   4       3            1          2255_1
1606941   1607555   3       3            1          2255_1
1618623   1619305   3       3            1          2255_1
1627109   1628367   5       3            1          2255_1
1633402   1633749   2       3            1          2255_1
1634794   1635481   5       3            1          2255_1
1638675   1639505   3       3            1          2255_1
1641913   1642934   5       3            1          2255_1
1644687   1645126   4       3            1          2255_1
1659546   1660034   5       3            1          2255_1
1660415   1660904   3       3            1          2255_1
1670545   1671494   3       3            1          2255_1
1672918   1674125   4       3            1          2255_1
1676969   1677611   5       3            1          2255_1
1681152   1682571   5       3            1          2255_1
1686750   1686905   5       3            1          2255_1
1688335   1689767   4       3            1          2255_1
1689768   1690308   5       3            1          2255_1
1691789   1692428   5       3            1          2255_1
1709553   1709680   2       3            1          2255_1
1723490   1724513   4       3            1          2255_1
1725294   1725670   4       3            1          2255_1
1732345   1732542   3       3            1          2255_1
1736998   1737556   2       3            1          2255_1
1750421   1752368   5       3            1          2255_1
1756562   1756746   4       3            1          2255_1
1785922   1786146   5       3            1          2255_1
1796586   1797977   3       3            1          2255_1
1803803   1804067   3       3            1          2255_1
1807456   1808702   2       3            1          2255_1
1811430   1812140   5       3            1          2255_1
1813060   1813914   5       3            1          2255_1
1814290   1814948   4       3            1          2255_1
1816897   1816967   5       3            1          2255_1
