LIST OF FOREIGN GENOMIC SEGMENTS:
Start     End       Origin  HomeCluster  BAPSIndex  StrainName
93371     94093     4       2            1          2255_3
468268    468581    6       2            1          2255_3
2777398   2778278   5       2            1          2255_3
3469682   3471186   1       2            1          2255_3
3562115   3563269   4       2            1          2255_3
3687265   3688580   6       2            1          2255_3
3690784   3691309   6       2            1          2255_3
3709156   3709971   1       2            1          2255_3
82692     100591    5       5            2          2255_6
520909    539835    5       5            2          2255_6
824918    840206    5       5            2          2255_6
1345099   1346572   1       5            2          2255_6
1654419   1655419   5       5            2          2255_6
1674893   1677429   5       5            2          2255_6
1701967   1703900   1       5            2          2255_6
2285130   2294354   5       5            2          2255_6
2442774   2447353   5       5            2          2255_6
2801754   2802603   5       5            2          2255_6
252907    255472    3       1            3          2255_7
256682    267869    5       1            3          2255_7
451794    454108    4       1            3          2255_7
530843    539072    5       1            3          2255_7
770581    771379    5       1            3          2255_7
1093956   1123220   5       1            3          2255_7
1146014   1149084   5       1            3          2255_7
1421539   1422834   5       1            3          2255_7
1433454   1434506   5       1            3          2255_7
1969378   1970237   5       1            3          2255_7
1980228   1981729   5       1            3          2255_7
2047571   2048133   1       1            3          2255_7
2134500   2148356   1       1            3          2255_7
2289152   2294912   5       1            3          2255_7
2523031   2527561   5       1            3          2255_7
2634579   2637559   5       1            3          2255_7
2645701   2650256   5       1            3          2255_7
2863231   2864704   5       1            3          2255_7
2937988   2939323   5       1            3          2255_7
2951970   2955966   5       1            3          2255_7
3026560   3028833   1       1            3          2255_7
3032442   3037659   5       1            3          2255_7
3044851   3048015   5       1            3          2255_7
3126478   3126881   3       1            3          2255_7
3182675   3185935   5       1            3          2255_7
3365325   3368641   5       1            3          2255_7
3378009   3379585   5       1            3          2255_7
3386544   3391748   5       1            3          2255_7
3695226   3695515   4       1            3          2255_7
3743778   3743938   6       1            3          2255_7
93371     94093     4       2            4          2255_8
468268    468581    6       2            4          2255_8
2777398   2778278   5       2            4          2255_8
3469682   3471186   1       2            4          2255_8
3562115   3563269   4       2            4          2255_8
3687265   3688580   6       2            4          2255_8
3690784   3691309   6       2            4          2255_8
3709156   3709971   1       2            4          2255_8
220907    226794    5       4            5          4501_2
332965    333925    5       4            5          4501_2
457596    485269    4       4            5          4501_2
536199    538575    5       4            5          4501_2
1116701   1134265   5       4            5          4501_2
1286348   1288890   5       4            5          4501_2
1338540   1346367   4       4            5          4501_2
1390006   1391758   5       4            5          4501_2
1650950   1670318   4       4            5          4501_2
1971639   1980677   5       4            5          4501_2
2128746   2141448   1       4            5          4501_2
2292896   2299681   5       4            5          4501_2
2444693   2447353   5       4            5          4501_2
2801977   2804216   5       4            5          4501_2
2898650   2900119   5       4            5          4501_2
2955241   2957972   5       4            5          4501_2
3112786   3189303   4       4            5          4501_2
3295642   3296943   5       4            5          4501_2
3695419   3696196   6       4            5          4501_2
3737598   3738788   1       4            5          4501_2
3750850   3751133   3       4            5          4501_2
93371     94093     4       2            6          4840_6_6
468268    468581    6       2            6          4840_6_6
2777398   2778278   5       2            6          4840_6_6
3306452   3306530   6       2            6          4840_6_6
3562115   3563269   4       2            6          4840_6_6
3687160   3688580   6       2            6          4840_6_6
3690784   3691309   6       2            6          4840_6_6
3709156   3709971   1       2            6          4840_6_6
3727441   3727493   4       2            6          4840_6_6
93371     94093     4       2            7          4840_7_8
468268    468581    6       2            7          4840_7_8
2504984   2505102   3       2            7          4840_7_8
2722412   2722439   5       2            7          4840_7_8
2777398   2778278   5       2            7          4840_7_8
3114588   3114780   5       2            7          4840_7_8
3245827   3246005   1       2            7          4840_7_8
3469682   3471186   1       2            7          4840_7_8
3562115   3563269   4       2            7          4840_7_8
3687265   3688580   6       2            7          4840_7_8
3690784   3691309   6       2            7          4840_7_8
3709156   3709971   1       2            7          4840_7_8
155871    156648    4       1            8          4976_1_10
253323    255472    3       1            8          4976_1_10
256682    267869    5       1            8          4976_1_10
451794    454108    4       1            8          4976_1_10
530952    539072    5       1            8          4976_1_10
770581    771379    5       1            8          4976_1_10
1093956   1123220   5       1            8          4976_1_10
1146014   1149084   5       1            8          4976_1_10
1421539   1422834   5       1            8          4976_1_10
1969378   1970237   5       1            8          4976_1_10
1980228   1981729   5       1            8          4976_1_10
2047571   2048133   1       1            8          4976_1_10
2289152   2294912   5       1            8          4976_1_10
2523031   2527561   5       1            8          4976_1_10
2634579   2637559   5       1            8          4976_1_10
2645701   2650256   5       1            8          4976_1_10
2863231   2864704   5       1            8          4976_1_10
2937988   2939323   5       1            8          4976_1_10
2951970   2955966   5       1            8          4976_1_10
3026560   3028829   1       1            8          4976_1_10
3032442   3037659   5       1            8          4976_1_10
3044851   3048015   5       1            8          4976_1_10
3126478   3126881   3       1            8          4976_1_10
3182675   3185935   5       1            8          4976_1_10
3365325   3368641   5       1            8          4976_1_10
3378009   3379585   5       1            8          4976_1_10
3695226   3695515   4       1            8          4976_1_10
3743778   3743938   6       1            8          4976_1_10
93371     94093     4       2            9          4976_1_11
468268    468581    6       2            9          4976_1_11
1100634   1100885   1       2            9          4976_1_11
2257861   2258487   1       2            9          4976_1_11
2777398   2778278   5       2            9          4976_1_11
3469682   3471186   1       2            9          4976_1_11
3562115   3563269   4       2            9          4976_1_11
3687265   3688580   6       2            9          4976_1_11
